Unnamed: 0,Stream start time,Stream URL,Stream length,Avg viewers,Peak viewers,Followers gained,Followers per hour,Views,Views per hour,Games
225,Sunday 19th April 2020 17:43,https://sullygnome.com/channel/tubbo/stream/1250275025,136,117,153,1054,421,614,196,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
226,Saturday 18th April 2020 17:05,https://sullygnome.com/channel/tubbo/stream/1233239313,99,148,171,55,31,493,207,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
227,Friday 17th April 2020 18:15,https://sullygnome.com/channel/tubbo/stream/37597916592,45,141,153,17,17,309,168,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
228,Thursday 16th April 2020 17:30,https://sullygnome.com/channel/tubbo/stream/37576683376,149,132,175,413,165,491,196,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
229,Wednesday 15th April 2020 18:14,https://sullygnome.com/channel/tubbo/stream/37559239424,240,117,226,141,35,1275,290,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
230,Tuesday 14th April 2020 18:10,https://sullygnome.com/channel/tubbo/stream/37541168208,154,147,230,70,25,669,195,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
231,Monday 13th April 2020 17:07,https://sullygnome.com/channel/tubbo/stream/37522621088,157,123,152,57,20,635,230,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
232,Sunday 12th April 2020 17:10,https://sullygnome.com/channel/tubbo/stream/37505009872,349,134,343,192,32,1638,258,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
233,Saturday 11th April 2020 17:15,https://sullygnome.com/channel/tubbo/stream/37485904112,75,101,128,14,9,207,106,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
234,Friday 10th April 2020 19:31,https://sullygnome.com/channel/tubbo/stream/37468815120,373,148,400,295,47,1736,277,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
235,Thursday 9th April 2020 19:16,https://sullygnome.com/channel/tubbo/stream/1145615745,118,68,96,32,16,283,125,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
236,Wednesday 8th April 2020 17:55,https://sullygnome.com/channel/tubbo/stream/1130890449,124,104,133,50,22,510,191,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
237,Tuesday 7th April 2020 17:40,https://sullygnome.com/channel/tubbo/stream/1118244529,79,75,100,31,20,282,142,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
238,Monday 6th April 2020 18:00,https://sullygnome.com/channel/tubbo/stream/1105901569,105,89,100,25,12,233,116,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
