Unnamed: 0,Stream start time,Stream URL,Stream length,Avg viewers,Peak viewers,Followers gained,Followers per hour,Views,Views per hour,Games
47,Monday 2nd November 2020 01:06,https://sullygnome.com/channel/sykkuno/stream/40313257806,293,30083,34876,11370,2393,188224,36883,VALORANT|Valorant|https://static-cdn.jtvnw.net/ttv-boxart/VALORANT-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Pacify|Pacify|https://static-cdn.jtvnw.net/ttv-boxart/Pacify-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Trine 2|Trine_2|https://static-cdn.jtvnw.net/ttv-boxart/Trine%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
48,Sunday 1st November 2020 01:42,https://sullygnome.com/channel/sykkuno/stream/40300797134,302,35163,45428,15272,2908,210865,40164,Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|SCP: Secret Laboratory|SCP_Secret_Laboratory|https://static-cdn.jtvnw.net/ttv-boxart/./SCP:%20Secret%20Laboratory-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
49,Thursday 29th October 2020 18:54,https://sullygnome.com/channel/sykkuno/stream/40268660414,245,51405,56961,24099,5670,270344,58808,Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
50,Thursday 29th October 2020 01:52,https://sullygnome.com/channel/sykkuno/stream/40261762606,262,45900,53456,15822,3516,223594,45685,Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
51,Wednesday 28th October 2020 02:42,https://sullygnome.com/channel/sykkuno/stream/40249940430,287,43253,55284,19854,3970,248328,47489,Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
52,Monday 26th October 2020 20:24,https://sullygnome.com/channel/sykkuno/stream/40231018574,395,40556,50560,26742,3961,327058,44435,Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
53,Saturday 24th October 2020 23:01,https://sullygnome.com/channel/sykkuno/stream/40207799214,538,39703,47935,28132,3125,369933,41103,Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
54,Friday 23rd October 2020 00:48,https://sullygnome.com/channel/sykkuno/stream/40182680334,281,41599,52874,20636,4344,235406,45905,Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
55,Wednesday 21st October 2020 21:46,https://sullygnome.com/channel/sykkuno/stream/40169219214,313,45044,56240,23296,4437,262456,48081,Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
56,Monday 19th October 2020 20:52,https://sullygnome.com/channel/sykkuno/stream/40149419502,352,41883,47605,19899,3618,212566,38648,Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
