Unnamed: 0,Stream start time,Stream URL,Stream length,Avg viewers,Peak viewers,Followers gained,Followers per hour,Views,Views per hour,Games
37,Wednesday 28th October 2020 17:49,https://sullygnome.com/channel/philza/stream/39804335292,250,9153,23818,7561,1779,59394,12393,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
38,Monday 26th October 2020 17:58,https://sullygnome.com/channel/philza/stream/39785245084,256,5547,6423,2775,652,42603,8555,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
39,Saturday 24th October 2020 18:46,https://sullygnome.com/channel/philza/stream/39765625036,223,6004,13157,4328,1154,49394,12409,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
40,Friday 23rd October 2020 17:04,https://sullygnome.com/channel/philza/stream/39753188252,115,6703,7723,1371,685,27974,10848,Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
41,Wednesday 21st October 2020 16:58,https://sullygnome.com/channel/philza/stream/39734549548,301,7535,16674,5280,1056,58026,11188,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
42,Monday 19th October 2020 21:30,https://sullygnome.com/channel/philza/stream/39720014268,90,1739,2082,507,289,8707,4975,Rocket League|Rocket_League|https://static-cdn.jtvnw.net/ttv-boxart/Rocket%20League-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
43,Monday 19th October 2020 16:57,https://sullygnome.com/channel/philza/stream/39716550748,227,7592,9538,3207,916,0,10347,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
44,Friday 16th October 2020 16:59,https://sullygnome.com/channel/philza/stream/39686602796,330,8520,25807,8090,1470,93312,16189,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
45,Wednesday 14th October 2020 16:58,https://sullygnome.com/channel/philza/stream/39669753548,241,6851,8944,2756,689,39631,9061,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
46,Monday 12th October 2020 16:58,https://sullygnome.com/channel/philza/stream/39653507756,286,8351,11292,5614,1181,67789,12969,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
