"","Stream start time","Stream URL","Stream length","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"11","Tuesday 24th November 2020 20:00","https://sullygnome.com/channel/wilbursoot/stream/40119327308","119","32623","38746","5623","2811","100293","39893","Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"12","Monday 23rd November 2020 19:55","https://sullygnome.com/channel/wilbursoot/stream/40108208908","79","48724","51893","3877","3101","80325","55153","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"13","Monday 16th November 2020 20:08","https://sullygnome.com/channel/wilbursoot/stream/40013601772","81","65415","92507","8221","5480","126273","84182","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"14","Sunday 15th November 2020 19:09","https://sullygnome.com/channel/wilbursoot/stream/40002511740","65","51776","60253","4549","3639","71362","44088","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"15","Saturday 14th November 2020 19:56","https://sullygnome.com/channel/wilbursoot/stream/39989574716","183","39020","70073","8031","2471","199212","53798","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"16","Friday 6th November 2020 20:20","https://sullygnome.com/channel/wilbursoot/stream/39898766556","69","49300","60922","3434","2747","76667","50873","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"17","Thursday 5th November 2020 18:12","https://sullygnome.com/channel/wilbursoot/stream/39886308972","62","52057","68504","4706","3764","70529","38057","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"18","Sunday 1st November 2020 19:57","https://sullygnome.com/channel/wilbursoot/stream/39850673452","107","27755","35848","4817","2408","82445","33666","Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"19","Saturday 31st October 2020 21:56","https://sullygnome.com/channel/wilbursoot/stream/39840481004","63","34265","44464","2646","2116","51540","31653","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"20","Friday 30th October 2020 19:21","https://sullygnome.com/channel/wilbursoot/stream/39826084748","38","29752","32652","986","1314","31427","27293","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"21","Wednesday 28th October 2020 20:01","https://sullygnome.com/channel/wilbursoot/stream/39806242060","58","48489","55890","3754","3754","62918","41432","GeoGuessr|GeoGuessr|https://static-cdn.jtvnw.net/ttv-boxart/GeoGuessr-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"22","Saturday 24th October 2020 18:37","https://sullygnome.com/channel/wilbursoot/stream/39765493516","187","30715","36876","8829","2716","129018","36056","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"23","Saturday 24th October 2020 01:24","https://sullygnome.com/channel/wilbursoot/stream/39758142204","35","36184","50621","2001","2668","44704","32305","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"24","Saturday 17th October 2020 20:02","https://sullygnome.com/channel/wilbursoot/stream/39699732060","42","32919","39457","2051","2734","28753","38337","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"25","Friday 16th October 2020 19:38","https://sullygnome.com/channel/wilbursoot/stream/39688949580","96","79683","105760","9007","5146","174943","73445","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"26","Wednesday 14th October 2020 19:27","https://sullygnome.com/channel/wilbursoot/stream/39671684012","77","43770","56502","4545","3030","65909","32357","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"27","Monday 12th October 2020 20:01","https://sullygnome.com/channel/wilbursoot/stream/39655928988","103","32565","40526","5324","3042","98291","35450","Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"28","Saturday 10th October 2020 19:03","https://sullygnome.com/channel/wilbursoot/stream/39636853852","131","28990","51303","8934","3970","118217","47588","Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"29","Thursday 8th October 2020 19:44","https://sullygnome.com/channel/wilbursoot/stream/39618707020","105","36829","41992","2422","1384","65260","31513","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"30","Sunday 27th September 2020 19:23","https://sullygnome.com/channel/wilbursoot/stream/701099826","66","23219","26161","2400","1920","42511","16800","Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"31","Saturday 26th September 2020 18:48","https://sullygnome.com/channel/wilbursoot/stream/698083570","161","22429","24838","5282","1920","85885","25928","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"32","Friday 25th September 2020 18:42","https://sullygnome.com/channel/wilbursoot/stream/694323538","62","62218","80425","7831","6264","89058","53484","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
