"","Stream start time","Stream URL","Stream length","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"183","Friday 7th February 2020 18:59","https://sullygnome.com/channel/philza/stream/607599809","375","2241","2500","890","142","18433","2598","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"184","Wednesday 5th February 2020 18:05","https://sullygnome.com/channel/philza/stream/596892321","219","2424","2985","150","40","10187","2716","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"185","Monday 27th January 2020 18:59","https://sullygnome.com/channel/philza/stream/547471681","255","2148","2424","455","107","11550","2488","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"186","Friday 24th January 2020 18:59","https://sullygnome.com/channel/philza/stream/528919905","465","1518","2205","552","71","14596","1883","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Rocket League|Rocket_League|https://static-cdn.jtvnw.net/ttv-boxart/Rocket%20League-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"187","Wednesday 22nd January 2020 18:58","https://sullygnome.com/channel/philza/stream/518251601","331","1872","2297","11902","2164","12661","2161","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"188","Monday 20th January 2020 18:59","https://sullygnome.com/channel/philza/stream/507683889","285","2413","2691","508","106","13738","2892","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"189","Friday 17th January 2020 19:00","https://sullygnome.com/channel/philza/stream/488767569","434","1629","2307","529","72","14120","1910","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Rocket League|Rocket_League|https://static-cdn.jtvnw.net/ttv-boxart/Rocket%20League-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"190","Wednesday 15th January 2020 19:07","https://sullygnome.com/channel/philza/stream/477870641","322","2065","2683","618","117","12697","2276","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"191","Monday 13th January 2020 19:03","https://sullygnome.com/channel/philza/stream/466820273","191","2078","2333","282","86","8258","2540","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"192","Friday 10th January 2020 18:59","https://sullygnome.com/channel/philza/stream/447864321","375","2159","2770","522","83","15654","2504","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"193","Wednesday 8th January 2020 18:59","https://sullygnome.com/channel/philza/stream/437094817","435","2242","2676","802","110","16994","2344","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"194","Monday 6th January 2020 18:58","https://sullygnome.com/channel/philza/stream/426243809","286","2185","2505","548","115","14221","2929","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"195","Sunday 5th January 2020 18:59","https://sullygnome.com/channel/philza/stream/420581393","270","3063","4015","1432","318","24022","4995","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"196","Saturday 4th January 2020 18:53","https://sullygnome.com/channel/philza/stream/413829233","156","1691","1963","263","95","9739","3037","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"197","Friday 3rd January 2020 19:00","https://sullygnome.com/channel/philza/stream/407256497","344","1870","2754","500","86","14451","2424","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Rocket League|Rocket_League|https://static-cdn.jtvnw.net/ttv-boxart/Rocket%20League-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"198","Wednesday 1st January 2020 18:59","https://sullygnome.com/channel/philza/stream/395155409","240","3119","3410","563","140","11733","2933","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
